uniprot,protein_family,subcellular_raw,pfam,go,keywords
A0A0H3GX94,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.,PF07690;,GO:0005886; GO:0022857,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
A0A0H3N8Z2,Asparagine synthetase family,,PF00733;PF13537;,GO:0004066; GO:0005524; GO:0005829; GO:0070981,Amino-acid biosynthesis;Asparagine biosynthesis;ATP-binding;Glutamine amidotransferase;Ligase;Nucleotide-binding;Reference proteome
A0A0H3NA87,Flagella basal body rod proteins family,"SUBCELLULAR LOCATION: Bacterial flagellum {ECO:0000256|ARBA:ARBA00004365, ECO:0000256|RuleBase:RU362065}. Secreted {ECO:0000256|ARBA:ARBA00004613, ECO:0000256|RuleBase:RU362065}.",PF00460;PF06429;PF21158;PF22638;,GO:0005198; GO:0005576; GO:0009424; GO:0044780,Bacterial flagellum;Cell projection;Cilium;Flagellum;Reference proteome;Secreted
A0A0H3NBQ0,Gram-negative porin family,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:2543631}; Multi-pass membrane protein {ECO:0000305}.,PF00267;,GO:0009279; GO:0015288; GO:0034220; GO:0046930,Cell outer membrane;Ion transport;Membrane;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
A0A0H3NCG3,Heat shock protein 70 family,,PF00012;,GO:0005524; GO:0006457; GO:0016887; GO:0051082; GO:0051087,ATP-binding;Chaperone;Nucleotide-binding;Phosphoprotein;Reference proteome;Stress response
A0A0H3NFG2,Sodium:solute symporter (SSF) (TC 2.A.21) family,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.,PF00474;,GO:0005886; GO:0006814; GO:0015293,Cell membrane;Ion transport;Membrane;Reference proteome;Sodium;Sodium transport;Transmembrane;Transmembrane helix;Transport
A0A0H3NG19,"Type II topoisomerase GyrA/ParC subunit family, ParC type 1 subfamily",SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|HAMAP-Rule:MF_00936}; Peripheral membrane protein {ECO:0000256|HAMAP-Rule:MF_00936}.,PF03989;PF00521;,GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0005737; GO:0006265; GO:0007059; GO:0009330; GO:0019897,Cell membrane;Coiled coil;DNA-binding;Isomerase;Membrane;Reference proteome;Topoisomerase
A0A0H3NJI9,Gram-negative porin family,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:2543631}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P06996}.,PF00267;,GO:0009279; GO:0015288; GO:0034220; GO:0046930,Cell outer membrane;Host-virus interaction;Ion transport;Membrane;Porin;Reference proteome;Signal;Stress response;Transmembrane;Transmembrane beta strand;Transport
A0A0H3NKE0,,SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,PF06316;,GO:0016020; GO:0044384,Membrane;Reference proteome;Signal;Transmembrane;Transmembrane beta strand
A0A0H3NMJ6,Bacterial flagellin family,SUBCELLULAR LOCATION: Secreted {ECO:0000256|RuleBase:RU362073}. Bacterial flagellum {ECO:0000256|RuleBase:RU362073}.,PF00700;PF08884;PF00669;PF21504;,GO:0005198; GO:0005576; GO:0009288,Bacterial flagellum;Cell projection;Cilium;Flagellum;Reference proteome;Secreted
A0A0H3NVD8,,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004417}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004417}.,PF00005;PF08402;,GO:0005524; GO:0015423; GO:0016887; GO:0055052; GO:1990060,ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Sugar transport;Translocase;Transport
A0A0H3NWJ3,TraA family,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}. Secreted {ECO:0000256|ARBA:ARBA00004613}.,PF05513;,GO:0005576; GO:0005886,Cell inner membrane;Cell membrane;Conjugation;Membrane;Plasmid;Reference proteome;Secreted;Transmembrane;Transmembrane helix
A0A2S4MYF8,Gram-negative porin family,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000250|UniProtKB:P06996}; Multi-pass membrane protein {ECO:0000305|PubMed:21071053}.; SUBCELLULAR LOCATION: Extracellular vesicle. Note=(Microbial infection) Upon infection with phage Sf6 is found in extracellular vesicles that associate with the tails of mature bacteriophage particles. {ECO:0000269|PubMed:22386055}.,PF00267;,GO:0009279; GO:0015288; GO:0034220; GO:0046930; GO:1903561,3D-structure;Cell outer membrane;Direct protein sequencing;Host-virus interaction;Ion transport;Membrane;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport;Virulence
A1KFU9,,SUBCELLULAR LOCATION: Cell surface.,,GO:0007155; GO:0008201; GO:0009986,Cell adhesion;Direct protein sequencing;Glycoprotein;Hemagglutinin;Heparin-binding;Virulence
F5NW60,,,PF07906;,,
G3XD49,,,PF04792;,GO:0005615; GO:0030254; GO:0030257,3D-structure;Reference proteome
H7C7D7,,,PF01323;PF18312;,GO:0016491,Disulfide bond;Oxidoreductase;Redox-active center;Reference proteome;Signal
I6X7X3,,,PF04402;,GO:0006974,Lipoprotein;Reference proteome;Signal
I6Y293,,,PF07995;,,Lipoprotein;Reference proteome;Signal
I6Y936,,,PF00934;,,Reference proteome
I6YE30,,,PF12728;,GO:0003677,Reference proteome
I6YG83,,,PF13577;,,Reference proteome
L0T2W6,,,PF11887;PF02470;,GO:0005576; GO:0005886; GO:0009274; GO:0044409; GO:0051701; GO:0120010; GO:0120014,Membrane;Reference proteome;Transmembrane;Transmembrane helix
L0T7Y7,Mycobacterial PPE family,SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:B2HSV2}. Note=Probably secreted via the ESX-5 / type VII secretion system (T7SS). {ECO:0000250|UniProtKB:B2HSV2}.,PF00823;PF12484;,GO:0052572,Reference proteome;Secreted;Virulence
L7N675,Mycobacterial PPE family,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000269|PubMed:19880448}. Cell surface {ECO:0000269|PubMed:19880448}.",PF00823;PF12484;,GO:0009986; GO:0052572,Cell wall;Reference proteome;Secreted;Virulence
O05461,Peptidase S8 family,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10974545, ECO:0000269|PubMed:12366866}; Single-pass membrane protein {ECO:0000255}. Note=Cell wall-associated. {ECO:0000269|PubMed:10974545, ECO:0000269|PubMed:12366866}.",PF00082;,GO:0004252; GO:0005886; GO:0006508; GO:0009986; GO:0016485; GO:0044003; GO:0051046,Cell membrane;Hydrolase;Membrane;Protease;Reference proteome;Serine protease;Signal;Transmembrane;Transmembrane helix
O06195,,,,,Reference proteome
O06404,,,PF23717;,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
O06608,,,PF08706;PF19263;,GO:0005524; GO:0005886; GO:0016787,ATP-binding;Hydrolase;Nucleotide-binding;Reference proteome
O06824,,,,,Reference proteome
O07166,,,PF00849;,GO:0000455; GO:0003723; GO:0005829; GO:0005886; GO:0009982; GO:0140098,Reference proteome
O07175,Peptidase S1C family,,PF13180;PF13365;,GO:0004252; GO:0005576; GO:0006508; GO:0009274,Hydrolase;Protease;Reference proteome;Signal
O07229,,,PF13977;PF00440;,GO:0000976; GO:0003700; GO:0006351; GO:0006355,3D-structure;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation
O07414,,,PF11887;PF02470;,GO:0005576; GO:0005886; GO:0009274; GO:0044409; GO:0051701; GO:0120010; GO:0120014,Membrane;Reference proteome;Transmembrane;Transmembrane helix
O07415,,,PF11887;PF02470;,GO:0005576; GO:0005886; GO:0009274; GO:0044409; GO:0051701; GO:0120010; GO:0120014,Reference proteome
O07416,,,PF11887;PF02470;,GO:0005576; GO:0005886; GO:0009274; GO:0044409; GO:0051701; GO:0120010; GO:0120014,Membrane;Reference proteome;Transmembrane;Transmembrane helix
O07417,,,PF11887;PF02470;,GO:0005576; GO:0005886; GO:0009274; GO:0044409; GO:0051701; GO:0120010; GO:0120014,Lipoprotein;Reference proteome
O33192,,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000255, ECO:0000305|PubMed:12581360}; Single-pass membrane protein {ECO:0000255}. Note=Probably also has a lipid-anchor at the mature N-terminus. Has been suggested to have 2 transmembrane domains (PubMed:12581360), but bioinformatic evidence does not support this. {ECO:0000305}.",PF05305;,GO:0005886,Cell membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal;Transmembrane;Transmembrane helix
O50383,,,PF05305;,GO:0005576,Reference proteome;Signal
O50391,GPN-loop GTPase family,,PF03029;,GO:0005525; GO:0016787,GTP-binding;Hydrolase;Nucleotide-binding;Reference proteome
O50398,,,PF01243;,GO:0005576; GO:0016627; GO:0070967,Oxidoreductase;Reference proteome
O53519,,,PF03364;,GO:0001666; GO:0005886; GO:0009274,Reference proteome
O53611,Monomeric-type IDH family,,PF03971;,GO:0000287; GO:0004450; GO:0005576; GO:0005829; GO:0005886; GO:0006097; GO:0006099; GO:0006102; GO:0009274; GO:0042803,3D-structure;Glyoxylate bypass;Magnesium;Metal-binding;NADP;Oxidoreductase;Reference proteome;Tricarboxylic acid cycle
O53673,Small heat shock protein (HSP20) family,,PF00011;,GO:0005886; GO:0009274; GO:0042542; GO:0046677; GO:0071451,Reference proteome;Stress response
O53692,"WXG100 family, CFP-10 subfamily",SUBCELLULAR LOCATION: Secreted {ECO:0000305|PubMed:21730061}. Note=Secreted via the ESX-3 / type VII secretion system (T7SS). {ECO:0000305|PubMed:21730061}.,PF06013;,GO:0005576; GO:0005829; GO:0097013,3D-structure;Acetylation;Reference proteome;Secreted;Virulence
O53732,CFA/CMAS family,,PF02353;,GO:0006633; GO:0008168; GO:0032259; GO:0071555,Cell wall biogenesis/degradation;Lipid biosynthesis;Lipid metabolism;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase
O53780,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|PROSITE-ProRule:PRU00303}; Lipid-anchor {ECO:0000255|PROSITE-ProRule:PRU00303}. Secreted {ECO:0000269|PubMed:30118682}.,PF10738;,GO:0005576; GO:0005886; GO:0009274; GO:0071555,3D-structure;Cell membrane;Cell wall biogenesis/degradation;Lipoprotein;Membrane;Palmitate;Reference proteome;Secreted;Signal;Virulence
O53966,,,PF02405;,GO:0005548; GO:0005886; GO:0015914; GO:0043190,Membrane;Reference proteome;Transmembrane;Transmembrane helix
O53972,,,PF02470;,GO:0005886; GO:0009274; GO:0044409; GO:0120010; GO:0120014,Membrane;Reference proteome;Transmembrane;Transmembrane helix
O69703,,,PF12625;PF12833;,GO:0000976; GO:0003700; GO:0006351,DNA-binding;Reference proteome;Transcription;Transcription regulation
O84025,"Bacterial ribosomal protein bL31 family, Type B subfamily",,PF01197;,GO:0003735; GO:0005840; GO:0006412; GO:1990904,Reference proteome;Ribonucleoprotein;Ribosomal protein
O84047,,,PF05932;,GO:0030254,Reference proteome
O84061,,,,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
O84091,,,PF07201;PF22342;,GO:0009986; GO:0019867; GO:0030254; GO:0050709,Reference proteome
O84103,,,,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
O84145,,,,,Reference proteome
O84226,,,,,Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix
O84229,,,,,Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix
O84243,RecR family,,PF21175;PF21176;PF13662;,GO:0000725; GO:0003677; GO:0006302; GO:0008270,DNA damage;DNA recombination;DNA repair;Metal-binding;Reference proteome;Zinc;Zinc-finger
O84385,Bacterial solute-binding protein 3 family,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20592031}. Cell surface {ECO:0000269|PubMed:20592031}.,PF00497;,GO:0005576; GO:0006865; GO:0009986; GO:0016597; GO:0030288,3D-structure;Amino-acid transport;Reference proteome;Secreted;Signal;Transport
O84449,,"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Note=Immunolocalizes to the inclusion membrane, the membrane that surrounds the intracellular parasite. This protein is recognized by CD8+ T-cells in both human and mouse infections, suggesting it gains access to the host cytoplasm. {ECO:0000250}.",PF05745;,GO:0019867,Membrane;Reference proteome;Transmembrane;Transmembrane helix
O84462,Chlamydial CPn_0572/CT_456/TC_0741 family,SUBCELLULAR LOCATION: Secreted. Note=Secreted via type III secretion system and translocated into host cell. {ECO:0000250}.,PF07577;,GO:0005576; GO:0042169,Phosphoprotein;Reference proteome;Secreted;Virulence
O84534,,,,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
O84546,"Class-II aminoacyl-tRNA synthetase family, Type 1 subfamily",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00044}.,PF02938;PF00152;PF01336;,GO:0003676; GO:0004815; GO:0005524; GO:0005737; GO:0006422; GO:0050560,Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Ligase;Nucleotide-binding;Protein biosynthesis;Reference proteome
O84583,Chlamydial CPn_0808/CT_579/TC_0868 family,,PF04888;,,Reference proteome
O84608,"Peroxiredoxin family, AhpC/Prx1 subfamily",,PF10417;PF00578;,GO:0005829; GO:0006979; GO:0008379; GO:0042744; GO:0045454,Oxidoreductase;Peroxidase;Reference proteome
O84623,,,,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
O84627,,,,,Coiled coil;Reference proteome
O84700,,,,,Reference proteome
O84701,,,,,Reference proteome
O84801,,,,,Reference proteome;Signal
O84819,,,,,Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix
O84848,AAA ATPase family; Peptidase M41 family; AAA ATPase family,"SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00060450, ECO:0000256|HAMAP-Rule:MF_01458}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00060450, ECO:0000256|HAMAP-Rule:MF_01458}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00060450, ECO:0000256|HAMAP-Rule:MF_01458}.",PF00004;PF17862;PF01434;,GO:0004176; GO:0004222; GO:0005524; GO:0005886; GO:0006508; GO:0008270; GO:0016887; GO:0030163,ATP-binding;Cell inner membrane;Cell membrane;Hydrolase;Membrane;Metal-binding;Metalloprotease;Nucleotide-binding;Protease;Reference proteome;Transmembrane;Transmembrane helix;Zinc
O84883,,,,,Reference proteome
P01555,Enterotoxin A family,,PF01375;,GO:0005534; GO:0005615; GO:0008289; GO:0016757; GO:0016779; GO:0042531; GO:0042597; GO:0090729; GO:0141104; GO:1902494,3D-structure;Direct protein sequencing;Disulfide bond;Enterotoxin;Glycosyltransferase;NAD;Nucleotidyltransferase;Reference proteome;Signal;Toxin;Transferase;Virulence
P01556,,SUBCELLULAR LOCATION: Secreted. Host cell membrane {ECO:0000305}.,PF01376;,GO:0005534; GO:0005615; GO:0020002; GO:0042531; GO:0042597; GO:0046812; GO:0090729; GO:1902494,3D-structure;Direct protein sequencing;Disulfide bond;Enterotoxin;Host cell membrane;Host membrane;Membrane;Reference proteome;Secreted;Signal;Toxin;Virulence
P04739,N-Me-Phe pilin family,SUBCELLULAR LOCATION: Fimbrium {ECO:0000269|PubMed:39666767}. Cell inner membrane {ECO:0000269|PubMed:27162347}; Single-pass membrane protein {ECO:0000255}. Host endoplasmic reticulum membrane {ECO:0000269|PubMed:23266901}. Note=Likely secreted through the outer membrane PilQ secretin channel for surface display. {ECO:0000305|PubMed:39666767}.,PF07963;PF00114;,GO:0005829; GO:0005886; GO:0009289; GO:0009986; GO:0043107; GO:0043709; GO:0044011; GO:0044096; GO:0044167; GO:0050848,3D-structure;Cell inner membrane;Cell membrane;Disulfide bond;Fimbrium;Host endoplasmic reticulum;Host membrane;Membrane;Methylation;Reference proteome;Transmembrane;Transmembrane helix
P04977,Bacterial exotoxin subunit A family,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11854200}. Note=The individual chains are secreted by a sec-dependent mechanism into the periplasm. Then, S1 associates with the outer membrane before it joins with the B subunit to form the secretion-competent holotoxin. The type IV secretion system ptl mediates secretion of assembled toxin through the outer membrane.",PF02917;,GO:0003950; GO:0005576; GO:0016779; GO:0090729; GO:0141104,3D-structure;Direct protein sequencing;Disulfide bond;Glycosyltransferase;NAD;Nucleotidyltransferase;Pharmaceutical;Reference proteome;Secreted;Signal;Toxin;Transferase;Virulence;Whooping cough
P04978,Pertussis toxin S2/S3 subunits family,SUBCELLULAR LOCATION: Secreted. Host cell membrane {ECO:0000305}.,PF03440;PF02918;,GO:0005576; GO:0020002; GO:0090729; GO:0141071,3D-structure;Disulfide bond;Host cell membrane;Host membrane;Membrane;Reference proteome;Secreted;Signal;Toxin;Virulence;Whooping cough
P04979,Pertussis toxin S2/S3 subunits family,SUBCELLULAR LOCATION: Secreted. Host cell membrane {ECO:0000305}.,PF03440;PF02918;,GO:0005576; GO:0020002; GO:0090729,3D-structure;Disulfide bond;Host cell membrane;Host membrane;Membrane;Reference proteome;Secreted;Signal;Toxin;Virulence;Whooping cough
P05788,Fimbrial protein family,SUBCELLULAR LOCATION: Fimbrium. Note=Pili structure on the cell surface.,PF16970;,GO:0009289; GO:0043709,Disulfide bond;Fimbrium;Reference proteome;Signal
P0A074,Aerolysin family,SUBCELLULAR LOCATION: Secreted.,PF07968;,GO:0005576; GO:0051715; GO:0090729,3D-structure;Cytolysis;Direct protein sequencing;Hemolysis;Secreted;Signal;Toxin;Virulence
P0A335,Chaperonin (HSP60) family,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00600}.,PF00118;,GO:0005524; GO:0005737; GO:0016853; GO:0042026; GO:0051082; GO:0140662,ATP-binding;Chaperone;Cytoplasm;Isomerase;Nucleotide-binding;Reference proteome
P0A3R5,,SUBCELLULAR LOCATION: Secreted. Host cell membrane {ECO:0000305}.,PF09275;,GO:0005576; GO:0020002; GO:0090729,3D-structure;Disulfide bond;Host cell membrane;Host membrane;Membrane;Reference proteome;Secreted;Signal;Toxin;Virulence;Whooping cough
P0A3U4,Omp25/RopB family,SUBCELLULAR LOCATION: Cell outer membrane.,PF13505;,GO:0006811; GO:0009279; GO:0015288; GO:0046930,Cell outer membrane;Ion transport;Membrane;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
P0A3U8,,SUBCELLULAR LOCATION: Periplasm.,PF04402;,GO:0006974; GO:0042597,Periplasm;Reference proteome;Signal
P0C0Z7,Chaperonin (HSP60) family,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00600}.,PF00118;,GO:0005524; GO:0006457; GO:0009408; GO:0016853; GO:0042026; GO:0051082; GO:0140662; GO:1990220,ATP-binding;Chaperone;Cytoplasm;Direct protein sequencing;Isomerase;Nucleotide-binding;Reference proteome;Stress response
P0C2J9,Cholesterol-dependent cytolysin family,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:28456649}. Secreted, cell wall {ECO:0000269|PubMed:28456649}. Host cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q04IN8}. Note=Secreted as soluble protein by the accessory Sec system (PubMed:28456649). It then inserts into the host cell membrane and forms pores formed by transmembrane beta-strands (By similarity). {ECO:0000250|UniProtKB:Q04IN8, ECO:0000269|PubMed:28456649}.",PF17440;PF01289;,GO:0005576; GO:0015485; GO:0020002; GO:0031640; GO:0090729,Cell wall;Cytolysis;Hemolysis;Host cell membrane;Host membrane;Lipid-binding;Membrane;Reference proteome;Secreted;Toxin;Transmembrane;Transmembrane beta strand;Virulence
P0C6Q5,,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}.,PF06340;,GO:0009279,3D-structure;Cell outer membrane;Membrane;Reference proteome;Signal
P0CC04,,SUBCELLULAR LOCATION: Periplasm {ECO:0000305}.,PF03504;PF01345;,GO:0005201; GO:0008360; GO:0042597,Cell shape;Disulfide bond;Periplasm;Reference proteome;Signal
P0CI27,IncA family,"SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:A0A0H3MD02}. Host vacuole, host pathogen-containing vacuole, host pathogen-containing vacuole membrane {ECO:0000269|PubMed:9826388, ECO:0000305|PubMed:10603409, ECO:0000305|PubMed:11402010}; Multi-pass membrane protein {ECO:0000255}. Note=Secreted, probably by a type III secretion system (Probable) (PubMed:9826388). Localized in the inclusion membrane (Probable) (PubMed:9826388). In the inclusion, the C-terminus faces the host cytosol (By similarity). {ECO:0000250|UniProtKB:A0A0H3MD02, ECO:0000269|PubMed:9826388, ECO:0000305|PubMed:10603409, ECO:0000305|PubMed:11402010}.",,GO:0005576; GO:0140221,3D-structure;Coiled coil;Host membrane;Membrane;Reference proteome;Secreted;Transmembrane;Transmembrane helix;Virulence
P0DJI4,,"SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:B0B9M4}. Host vacuole, host pathogen-containing vacuole, host pathogen-containing vacuole membrane {ECO:0000250|UniProtKB:B0B9M4}; Multi-pass membrane protein {ECO:0000255}. Note=Secreted, probably by a type III secretion system (By similarity). Localized in the inclusion membrane (By similarity). {ECO:0000250|UniProtKB:B0B9M4}.",PF17627;,GO:0005576; GO:0140221,3D-structure;Host membrane;Membrane;Reference proteome;Secreted;Transmembrane;Transmembrane helix;Virulence
P0DJM0,Internalin family,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000255|PROSITE-ProRule:PRU00477, ECO:0000269|PubMed:10736172, ECO:0000269|PubMed:11929538, ECO:0000269|PubMed:20176794, ECO:0000269|PubMed:21725001, ECO:0000269|PubMed:22837151}; Peptidoglycan-anchor {ECO:0000255|PROSITE-ProRule:PRU00477, ECO:0000269|PubMed:10736172, ECO:0000269|PubMed:11929538}. Secreted {ECO:0000269|PubMed:11854224, ECO:0000269|PubMed:20176794}. Note=In the absence of SrtA in exponential phase some protein is still anchored to the cell wall and a very small amount is secreted while overall protein levels are the same in the srtA mutant; in stationary phase almost no protein accumulates (PubMed:22837151). During exponential growth detected on the cell surface as a series of dots in a helical pattern, it is excluded from the septum; if expression is increased it accumulates at cell poles (PubMed:21725001). The helical pattern of InlA does not overlap with that of InlH, InlJ or Hbp2 (SvpA) (PubMed:21725001). In stationary phase colocalizes with InlH at cell poles and at the septum, the location shift requires SigB (PubMed:21725001). {ECO:0000269|PubMed:21725001, ECO:0000269|PubMed:22837151}.",PF09479;PF00746;PF12354;PF12799;PF08191;,GO:0005576; GO:0009274,3D-structure;Cell wall;Direct protein sequencing;Leucine-rich repeat;Peptidoglycan-anchor;Reference proteome;Repeat;Secreted;Signal;Virulence
P0DPS6,,"SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:A0A0H3MGR4}. Host vacuole, host pathogen-containing vacuole, host pathogen-containing vacuole membrane {ECO:0000305|PubMed:11260479}; Multi-pass membrane protein {ECO:0000255}. Note=Secreted, probably by a type III secretion system (By similarity). Localized in the inclusion membrane (By similarity). {ECO:0000250|UniProtKB:A0A0H3MGR4}.",,GO:0005576; GO:0140221,Host membrane;Membrane;Phosphoprotein;Reference proteome;Secreted;Transmembrane;Transmembrane helix;Virulence
